Rank,Module,Class,Kind,PmdSmells,LOC,NCSS,Methods,Path
1368,openjpa-kernel,EndTransactionListener,interface,0,74,9,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/EndTransactionListener.java
1369,openjpa-kernel,Subquery,interface,0,52,9,0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Subquery.java
1370,openjpa-kernel,MapChangeTracker,interface,0,63,9,0,openjpa-kernel/src/main/java/org/apache/openjpa/util/MapChangeTracker.java
1371,openjpa-kernel,Proxy,interface,0,62,9,0,openjpa-kernel/src/main/java/org/apache/openjpa/util/Proxy.java
1372,openjpa-kernel,Validator,interface,0,76,9,0,openjpa-kernel/src/main/java/org/apache/openjpa/validation/Validator.java
1373,openjpa-lib,OrderedMap,interface,0,74,9,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/OrderedMap.java
1374,openjpa-persistence,ManagedInterface,annotation,0,43,9,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/ManagedInterface.java
1375,openjpa-persistence,OpenJPAEntityTransaction,interface,0,72,9,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAEntityTransaction.java
1376,openjpa-persistence,OpenJPAQuerySPI,interface,0,46,9,0,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/OpenJPAQuerySPI.java
1377,openjpa-persistence,AndPredicate,class,0,38,9,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/AndPredicate.java
1378,openjpa-persistence,OrPredicate,class,0,39,9,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/OrPredicate.java
1379,openjpa-jdbc,ColumnIdentifierRule,class,0,36,8,1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/identifier/ColumnIdentifierRule.java
1380,openjpa-jdbc,PreparedStatementManager,interface,0,48,8,0,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java
1381,openjpa-kernel,DataCacheMode,enum,0,61,8,0,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DataCacheMode.java
1382,openjpa-kernel,RemoteCommitProvider,interface,0,63,8,0,openjpa-kernel/src/main/java/org/apache/openjpa/event/RemoteCommitProvider.java
1383,openjpa-kernel,FinderQuery,interface,0,65,8,0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/FinderQuery.java
1384,openjpa-kernel,SimpleNode,class,0,37,8,0,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/jpql/SimpleNode.java
1385,openjpa-lib,ConfigurationProvider,interface,0,55,8,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ConfigurationProvider.java
1386,openjpa-lib,SizedMap,interface,0,51,8,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/SizedMap.java
1387,openjpa-lib,SortedBidiMap,interface,0,60,8,0,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/SortedBidiMap.java
1388,openjpa-persistence,BetweenExpression,class,0,36,8,1,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/BetweenExpression.java
