Dataset,Classifier,FS,Balancing,Step,TrainReleases,TrainRows,TestRelease,TestRows,Precision,Recall,AUC,Kappa,NPofB20,PofB20
OPENJPA,RandomForest,No,Yes,12,1-12,12424,13,1290,0.6406,0.8911,0.9648,0.6886,0.5842,0.2624
OPENJPA,RandomForest,No,Yes,13,1-13,13714,14,1055,0.5842,0.6743,0.8922,0.5451,0.4743,0.1543
OPENJPA,NaiveBayes,No,Yes,1,1-1,932,2,951,0.6960,0.4203,0.7710,0.4308,0.2415,0.1353
OPENJPA,NaiveBayes,No,Yes,2,1-2,1883,3,952,0.5949,0.4700,0.7729,0.4170,0.2550,0.1600
OPENJPA,NaiveBayes,No,Yes,3,1-3,2835,4,1002,0.4579,0.6759,0.8139,0.4513,0.2828,0.3034
OPENJPA,NaiveBayes,No,Yes,4,1-4,3837,5,1003,0.4355,0.5870,0.8213,0.4062,0.2464,0.2464
OPENJPA,NaiveBayes,No,Yes,5,1-5,4840,6,1008,0.5211,0.4596,0.8066,0.3984,0.2422,0.1739
OPENJPA,NaiveBayes,No,Yes,6,1-6,5848,7,1049,0.6000,0.3261,0.7478,0.2912,0.1739,0.1341
OPENJPA,NaiveBayes,No,Yes,7,1-7,6897,8,1008,0.5714,0.4360,0.8297,0.3828,0.3128,0.1517
OPENJPA,NaiveBayes,No,Yes,8,1-8,7905,9,1055,0.6862,0.5985,0.8678,0.5242,0.4672,0.1606
OPENJPA,NaiveBayes,No,Yes,9,1-9,8960,10,1166,0.6223,0.3846,0.8552,0.3033,0.5093,0.1088
OPENJPA,NaiveBayes,No,Yes,10,1-10,10126,11,1055,0.4527,0.4467,0.5966,0.2330,0.2100,0.1500
OPENJPA,NaiveBayes,No,Yes,11,1-11,11181,12,1243,0.5562,0.4521,0.8023,0.4047,0.2374,0.1735
OPENJPA,NaiveBayes,No,Yes,12,1-12,12424,13,1290,0.5838,0.5347,0.8404,0.4803,0.2673,0.2129
OPENJPA,NaiveBayes,No,Yes,13,1-13,13714,14,1055,0.4198,0.5829,0.7747,0.3657,0.2400,0.2000
OPENJPA,Ibk,No,Yes,1,1-1,932,2,951,0.7963,0.2077,0.5610,0.2631,0.1884,0.1884
OPENJPA,Ibk,No,Yes,2,1-2,1883,3,952,0.3310,0.7100,0.6447,0.2312,0.3550,0.2250
OPENJPA,Ibk,No,Yes,3,1-3,2835,4,1002,0.3876,0.6897,0.7763,0.3817,0.3379,0.3103
OPENJPA,Ibk,No,Yes,4,1-4,3837,5,1003,0.4872,0.6884,0.8027,0.4881,0.4638,0.3116
OPENJPA,Ibk,No,Yes,5,1-5,4840,6,1008,0.5220,0.5901,0.6925,0.4629,0.4286,0.2857
OPENJPA,Ibk,No,Yes,6,1-6,5848,7,1049,0.5874,0.4384,0.6877,0.3576,0.3080,0.2065
OPENJPA,Ibk,No,Yes,7,1-7,6897,8,1008,0.6471,0.6777,0.7854,0.5699,0.5166,0.2986
OPENJPA,Ibk,No,Yes,8,1-8,7905,9,1055,0.6229,0.6752,0.7613,0.5177,0.5109,0.3358
OPENJPA,Ibk,No,Yes,9,1-9,8960,10,1166,0.7329,0.5676,0.7673,0.4981,0.4244,0.2334
OPENJPA,Ibk,No,Yes,10,1-10,10126,11,1055,0.2228,0.6900,0.3266,-0.1632,0.2267,0.1100
OPENJPA,Ibk,No,Yes,11,1-11,11181,12,1243,0.3545,0.5342,0.6540,0.2720,0.2968,0.2374
