Path,CodeSmells
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/BetweenExpression.java,0
openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/BidiMap.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/util/BigDecimalId.java,2
openjpa-kernel/src/main/java/org/apache/openjpa/util/BigIntegerId.java,2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/BinaryConditionalOperator.java,1
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/BinaryExpressionPredicate.java,6
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/BinaryFunctionalOperator.java,1
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/BinaryOperatorExpression.java,5
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BinaryOpExpState.java,0
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/BindableParameter.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BindKeyVariableExpression.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BindValueVariableExpression.java,1
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableAndExpression.java,2
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BindVariableAndExpression.java,2
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/BindVariableExpression.java,3
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BindVariableExpression.java,4
openjpa-kernel/src/main/java/org/apache/openjpa/util/BlacklistClassResolver.java,3
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/BlobValueHandler.java,2
openjpa-kernel/src/main/java/org/apache/openjpa/util/BooleanId.java,2
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/BooleanRepresentation.java,1
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/BooleanRepresentationFactory.java,1
openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/BooleanValue.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Bootstrap.java,3
openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/BootstrapException.java,2
openjpa-lib/src/main/java/org/apache/openjpa/lib/util/collections/BoundedMap.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/BoundVariable.java,3
openjpa-lib/src/main/java/org/apache/openjpa/lib/graph/BreadthFirstWalk.java,5
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Broker.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerFactory.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/event/BrokerFactoryEvent.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/event/BrokerFactoryEventManager.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/event/BrokerFactoryListener.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/conf/BrokerFactoryValue.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java,150
openjpa-kernel/src/main/java/org/apache/openjpa/conf/BrokerValue.java,2
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/osgi/BundleDelegatingClassLoader.java,0
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/osgi/BundleUtils.java,5
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ByteArrayValueHandler.java,4
openjpa-kernel/src/main/java/org/apache/openjpa/util/asm/BytecodeWriter.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/util/ByteId.java,2
openjpa-lib/src/main/java/org/apache/openjpa/lib/util/Bytes.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/CacheDictionary.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheDistributionPolicy.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/util/CacheMap.java,11
openjpa-kernel/src/main/java/org/apache/openjpa/conf/CacheMarshaller.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/conf/CacheMarshallerImpl.java,15
openjpa-kernel/src/main/java/org/apache/openjpa/conf/CacheMarshallersValue.java,5
openjpa-kernel/src/main/java/org/apache/openjpa/datacache/Caches.java,2
openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatistics.java,13
openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatisticsImpl.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/datacache/CacheStatisticsSPI.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Calendard.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/util/CallbackException.java,1
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/CallbackMode.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/event/CallbackModes.java,1
openjpa-kernel/src/main/java/org/apache/openjpa/conf/CallbackOptions.java,3
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/CandidatePath.java,8
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/CaseExpression.java,1
openjpa-persistence/src/main/java/org/apache/openjpa/persistence/query/CaseExpressionImpl.java,5
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Cast.java,3
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Ceiling.java,0
openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/Ceiling.java,4
openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/CFMetaDataParser.java,23
openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/CFMetaDataSerializer.java,3
openjpa-kernel/src/main/java/org/apache/openjpa/util/ChangeTracker.java,0
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayStreamValueHandler.java,4
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/CharArrayValueHandler.java,4
openjpa-kernel/src/main/java/org/apache/openjpa/util/CharId.java,2
openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassAnnotationMetaDataFilter.java,4
openjpa-lib/src/main/java/org/apache/openjpa/lib/meta/ClassArgParser.java,37
openjpa-persistence-jdbc/src/main/java/org/apache/openjpa/persistence/jdbc/ClassCriteria.java,0
openjpa-lib/src/main/java/org/apache/openjpa/lib/conf/ClassListValue.java,4
openjpa-kernel/src/main/java/org/apache/openjpa/util/ClassLoaderProxyService.java,2
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMapping.java,24
openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/ClassMappingInfo.java,43
