Rank,Module,Class,SonarSmells,PmdSmells,LOC,NCSS,Methods,LinesPerMethod,Path
222,openjpa-jdbc,StateComparisonVersionStrategy,6,5,351,223,27,8.26,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/StateComparisonVersionStrategy.java
223,openjpa-kernel,DelegatingQueryCache,6,30,247,183,21,8.71,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingQueryCache.java
224,openjpa-jdbc,GetMapValue,6,9,231,166,18,9.22,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/GetMapValue.java
225,openjpa-lib,DocTypeReader,6,19,287,162,16,10.13,openjpa-lib/src/main/java/org/apache/openjpa/lib/xml/DocTypeReader.java
226,openjpa-kernel,LocalManagedRuntime,6,18,231,160,17,9.41,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/LocalManagedRuntime.java
227,openjpa-persistence,CompoundSelections,6,18,230,147,16,9.19,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/criteria/CompoundSelections.java
228,openjpa-jdbc,FoxProDictionary,6,11,191,124,10,12.40,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java
229,openjpa-jdbc,Lit,6,25,169,119,12,9.92,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java
230,openjpa-jdbc,PreparedSQLStoreQuery,6,17,173,115,8,14.38,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedSQLStoreQuery.java
231,openjpa-kernel,MethodLifecycleCallbacks,6,5,166,96,11,8.73,openjpa-kernel/src/main/java/org/apache/openjpa/event/MethodLifecycleCallbacks.java
232,openjpa-jdbc,JDBCRelatedFieldOrder,6,3,117,76,8,9.50,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/JDBCRelatedFieldOrder.java
233,openjpa-kernel,DelegatingFetchConfiguration,5,126,670,552,67,8.24,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/DelegatingFetchConfiguration.java
234,openjpa-kernel,AttachStrategy,5,25,588,423,14,30.21,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AttachStrategy.java
235,openjpa-kernel,DelegatingDataCache,5,63,426,345,37,9.32,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/DelegatingDataCache.java
236,openjpa-jdbc,XMLSchemaSerializer,5,24,470,332,27,12.30,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java
237,openjpa-jdbc,RelationHandlerMapTableFieldStrategy,5,5,328,258,18,14.33,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/RelationHandlerMapTableFieldStrategy.java
238,openjpa-lib,StringUtil,5,22,458,253,18,14.06,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/StringUtil.java
239,openjpa-persistence,JPAFacadeHelper,5,34,347,247,12,20.58,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/JPAFacadeHelper.java
240,openjpa-jdbc,HandlerStrategies,5,15,280,192,11,17.45,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/HandlerStrategies.java
241,openjpa-jdbc,LobFieldStrategy,5,6,240,191,14,13.64,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/LobFieldStrategy.java
242,openjpa-jdbc,JDBCBrokerFactory,5,6,257,182,14,13.00,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCBrokerFactory.java
243,openjpa-xmlstore,XMLStoreManager,5,6,300,173,14,12.36,openjpa-xmlstore/src/main/java/org/apache/openjpa/xmlstore/XMLStoreManager.java
244,openjpa-jdbc,SecondaryRow,5,8,197,136,11,12.36,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SecondaryRow.java
245,openjpa-jdbc,PrimitiveFieldStrategy,4,13,440,349,26,13.42,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/PrimitiveFieldStrategy.java
246,openjpa-jdbc,ColumnVersionStrategy,4,14,381,271,12,22.58,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/ColumnVersionStrategy.java
